event,appname,timestamp
1,AppUsageStatistics,2020-11-11 12:01:27
32,AppUsageStatistics,2020-11-11 12:01:27
32,AppUsageStatistics,2020-11-11 12:01:29
32,系统桌面,2020-11-11 12:02:47
32,系统桌面,2020-11-11 12:02:47
32,系统桌面,2020-11-11 12:02:48
32,系统桌面,2020-11-11 12:02:48
32,系统桌面,2020-11-11 12:02:48
32,AppUsageStatistics,2020-11-11 12:02:48
32,系统桌面,2020-11-11 12:02:49
32,系统桌面,2020-11-11 12:02:49
1,AppUsageStatistics,2020-11-11 12:02:50
32,AppUsageStatistics,2020-11-11 12:02:50
32,AppUsageStatistics,2020-11-11 12:02:52
32,系统桌面,2020-11-11 12:05:08
32,系统桌面,2020-11-11 12:05:08
32,AppUsageStatistics,2020-11-11 12:05:08
32,Android 系统,2020-11-11 12:05:08
32,系统桌面,2020-11-11 12:05:11
32,AppUsageStatistics,2020-11-11 12:05:12
32,系统 UI,2020-11-11 12:07:16
32,系统 UI,2020-11-11 12:07:16
32,系统 UI,2020-11-11 12:07:16
32,万象息屏,2020-11-11 12:07:16
32,Android 系统,2020-11-11 12:07:59
32,系统 UI,2020-11-11 12:07:59
32,系统桌面,2020-11-11 12:08:00
32,系统桌面,2020-11-11 12:08:52
32,系统桌面,2020-11-11 12:11:20
32,系统桌面,2020-11-11 12:11:29
32,系统桌面,2020-11-11 12:11:30
1,系统桌面,2020-11-11 12:11:31
32,手机管家,2020-11-11 12:11:31
32,系统 UI,2020-11-11 12:11:31
32,系统 UI,2020-11-11 12:11:31
32,系统桌面,2020-11-11 12:11:31
32,系统 UI,2020-11-11 12:11:31
32,系统桌面,2020-11-11 12:11:31
32,微信,2020-11-11 12:11:32
32,微信,2020-11-11 12:11:32
32,微信,2020-11-11 12:11:32
1,微信,2020-11-11 12:11:37
32,搜狗输入法小米版,2020-11-11 12:11:37
1,微信,2020-11-11 12:12:03
1,微信,2020-11-11 12:12:04
1,微信,2020-11-11 12:12:07
32,系统桌面,2020-11-11 12:12:17
32,系统桌面,2020-11-11 12:12:24
32,系统桌面,2020-11-11 12:12:24
32,系统桌面,2020-11-11 12:12:24
1,系统桌面,2020-11-11 12:12:26
32,微信,2020-11-11 12:12:26
32,微信,2020-11-11 12:12:26
32,系统桌面,2020-11-11 12:12:26
32,系统桌面,2020-11-11 12:12:26
32,微信,2020-11-11 12:12:37
1,微信,2020-11-11 12:12:39
32,微信,2020-11-11 12:12:40
1,微信,2020-11-11 12:12:41
32,微信,2020-11-11 12:12:41
32,微信,2020-11-11 12:12:41
1,微信,2020-11-11 12:12:42
32,搜狗输入法小米版,2020-11-11 12:12:42
32,系统桌面,2020-11-11 12:12:47
32,系统桌面,2020-11-11 12:12:47
32,系统桌面,2020-11-11 12:12:47
1,系统桌面,2020-11-11 12:12:49
32,用户行为3,2020-11-11 12:12:49
32,系统桌面,2020-11-11 12:12:49
32,系统桌面,2020-11-11 12:12:49
32,用户行为3,2020-11-11 12:12:49
32,系统桌面,2020-11-11 12:12:49
32,系统桌面,2020-11-11 12:12:49
32,系统桌面,2020-11-11 12:12:50
1,系统桌面,2020-11-11 12:12:52
32,AppUsageStatistics,2020-11-11 12:12:52
32,系统桌面,2020-11-11 12:12:52
32,系统桌面,2020-11-11 12:12:52
1,AppUsageStatistics,2020-11-11 12:12:53
32,AppUsageStatistics,2020-11-11 12:12:53
32,AppUsageStatistics,2020-11-11 12:12:55
32,系统 UI,2020-11-11 12:13:01
32,系统桌面,2020-11-11 12:13:02
32,系统桌面,2020-11-11 12:13:02
1,系统桌面,2020-11-11 12:13:03
32,微信,2020-11-11 12:13:03
32,系统桌面,2020-11-11 12:13:03
32,系统桌面,2020-11-11 12:13:03
32,微信,2020-11-11 12:13:03
32,搜狗输入法小米版,2020-11-11 12:13:04
32,系统桌面,2020-11-11 12:13:22
1,微信,2020-11-11 12:13:29
1,微信,2020-11-11 12:13:30
32,微信,2020-11-11 12:13:30
32,微信,2020-11-11 12:13:31
1,微信,2020-11-11 12:13:32
